Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,Method of interaction:,Stakeholder type:,"Other, please specify::Stakeholder type:",Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify)::Event or distribution type:,"Army/DoD partners (includes CMA, AASC, Depot commanders):Number of participants:",Citizens' Advisory Commission members:Number of participants:,Congress and congressional staffers:Number of participants:,"Emergency Management (e.g. CSEPP, FEMA, etc.):Number of participants:",International community members:Number of participants:,Local community members:Number of participants:,Local elected officials:Number of participants:,Media:Number of participants:,Oversight agency members:Number of participants:,PEO ACWA Workforce members:Number of participants:,Regulatory agency members:Number of participants:,Other:Number of participants:,Date range of posting(s):,Facebook posts:Number of social media posting(s):,Tweets:Number of social media posting(s):,Instagram posts:Number of social media posting(s):,HQ Video:Number of social media posting(s):,Digital shorts:Number of social media posting(s):,"Digital communications (Flickr, Website updates and YouTube Uploads):Number of social media posting(s):",Name of video (if applicable):
72,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,12/14/16,Public interaction report,,32,,,,,,,,,20,,,,,,,,,,
73,Individual contact,Team Member 2,12/15/16,"Name, Title",Digital communication,PEO ACWA workforce member,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Individual contact,Team Member 2,12/15/16,"Name, Title",Digital communication,PEO ACWA workforce member,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Individual contact,Team Member 2,12/15/16,"Name, Title",Digital communication,PEO ACWA workforce member,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,12/19/16,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
77,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,12/21/16,Public interaction report,,32,,,,,,,,,20,,,,,,,,,,
78,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/1/2016-12/31/16,,,,,,3,YouTube Uploads
79,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/25/16,,,,,1,,Happy Holidays Motion Graphic
80,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/7/16,,,,,,1,"Website Article: Blue Grass Team Develops Simulator, Saves Project Funds"
81,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/9/16,,,,,,1,Website Article: Blue Grass Team Member Receives Army Acquisition Honor
82,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/14/16,,,,,,1,"Website Article: Heat Reduces Equipment, Waste Contamination at Pilot Plant"
83,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/14/16,,,,,,1,Website Article: Blue Grass Team Donates to Benefit Soldiers
84,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/16/16,,,,,,1,Website Article: Blue Grass Medical Staff Goes to 24/7 Response
85,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/21/16,,,,,,1,"Website Article: Blue Grass Plant Leaders Track Year's Progress, Preview 2017"
86,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/21/16,,,,,,1,Website Article: Blue Grass Explosive Destruction Technology Postponed
87,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/29/16,,,,,,1,Website Article: Plans Made to Resume Operations at Pueblo Pilot Plant
88,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/29/16,,,,,,1,Website Article: 2016 Marks Start of Operations at Colorado Pilot Plant
89,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/30/16,,,,,,1,Pueblo Web Update
90,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/30/16,,,,,,1,Blue Grass Web Update
91,Event or information distribution,,,,,,,Team Member 3,"HQ Article: Experts Meet, Review Progress",11/30/16,News article,,,,,,,,,,,,,0,,,,,,,,
92,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/29/16,,,,1,,,What is PCAPP?
93,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/28/16,,,,,1,,Redesigned Website Promo Video
94,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,MM/DD/2016 or MM/DD/2016 - MM/DD/2016,,,,,1,,BGCAPP Systemization Underway December 2016
95,Event or information distribution,,,,,,,Team Member 3,PEO ACWA Weekly News Clips,12/27/16,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
96,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/01/2016 - 12/31/2016,71,138,48,,,2,
97,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,1/3/17,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
99,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,10/17/16,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
101,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/28/16,,,,,,1,Happy New Year Graphic
102,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,1/4/17,Public interaction report,,32,,,,,,,,,19,,,,,,,,,,
103,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,1/11/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
105,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,1/18/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
106,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/12/17,,,,1,,,Pueblo Chemical Agent-Destruction Pilot Plant is Committed to Secondary Process
107,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/12/17,,,,,1,,ACWA Snapshot: Pueblo Chemical Agent-Destruction Pilot Plant is Committed to Secondary Process
109,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,1/25/17,Public interaction report,,34,,,,,,,,,18,,,,,,,,,,
110,Event or information distribution,,,,,,,Team Member 2,1QFY17 Quarterly Brief,1/23/17,Other (please specify):,Quarterly Brief,35,,45,2,,,,,1,108,7,,,,,,,,,
111,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,MM/DD/2016 or MM/DD/2016 - MM/DD/2016,,,,,2,,"BGCAPP Systemization Underway January 2017, PCAPP Operations Underway 2017"
115,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,01/16/2017-1/31/2017,7,7,,,,,
